Timestamp,estimated-transaction-volume
14-11-2020,49737.54381367
15-11-2020,142732.5278929499
16-11-2020,181281.85333922997
17-11-2020,231375.53073303992
18-11-2020,148181.44045960004
19-11-2020,227786.31927440004
20-11-2020,120634.32170732995
21-11-2020,78963.93118706
22-11-2020,146336.89543220002
23-11-2020,219739.99051476
24-11-2020,187608.88242723997
25-11-2020,205207.80888847006
26-11-2020,209319.16610076
27-11-2020,75790.24754619996
28-11-2020,75273.85776333
29-11-2020,174045.0424795999
30-11-2020,239398.77381604
01-12-2020,157633.2134041599
02-12-2020,141981.73842658996
03-12-2020,162656.5754901901
04-12-2020,65725.79167388998
05-12-2020,52342.98136957
06-12-2020,109478.32196920007
07-12-2020,199640.1308773499
08-12-2020,142289.25044238
09-12-2020,211693.5757270099
10-12-2020,162206.33931064003
11-12-2020,104784.24717678
12-12-2020,178997.75355398993
13-12-2020,140039.58424129002
14-12-2020,160706.07545407003
15-12-2020,209514.45641449
16-12-2020,245026.81111816986
17-12-2020,269861.73048439994
18-12-2020,118538.22597463
19-12-2020,103361.44931117998
20-12-2020,169206.41709765
21-12-2020,277726.39046438015
22-12-2020,273159.57702678005
23-12-2020,172668.29481989006
24-12-2020,98032.91245184999
25-12-2020,102903.82533449003
26-12-2020,173299.87122454
27-12-2020,297406.0308215799
28-12-2020,205701.9753501901
29-12-2020,207164.0435902901
30-12-2020,195528.20735462997
31-12-2020,148420.30425110986
01-01-2021,197649.46868496
02-01-2021,175403.47221832
03-01-2021,234965.05398174
04-01-2021,209211.2070226302
05-01-2021,217195.16288214005
06-01-2021,258243.12648481008
07-01-2021,222609.08169237996
08-01-2021,144078.68911506998
09-01-2021,108186.5548879601
10-01-2021,204127.78390739
11-01-2021,209957.30793954004
12-01-2021,152692.81917430006
13-01-2021,217046.98492489985
14-01-2021,173447.9771496402
15-01-2021,69617.32967057
16-01-2021,71912.96096476997
17-01-2021,106369.43070738998
18-01-2021,203229.19339636998
19-01-2021,145190.37490666003
20-01-2021,143477.54309174995
21-01-2021,169002.85624860998
22-01-2021,64942.432607790026
23-01-2021,61031.89430091996
24-01-2021,116295.08412392
25-01-2021,132373.80457356005
26-01-2021,174921.91645744996
27-01-2021,156961.96833171003
28-01-2021,234227.37633318998
29-01-2021,100245.93886341002
30-01-2021,94042.69596368003
31-01-2021,136226.08185362996
01-02-2021,125115.65292609997
02-02-2021,136350.72736042007
03-02-2021,166678.34542734007
04-02-2021,163706.56414459998
05-02-2021,115157.58511746002
06-02-2021,90818.88327887001
07-02-2021,197784.15422891994
08-02-2021,232063.37849380999
09-02-2021,159372.25521930997
10-02-2021,136428.27333403
11-02-2021,163544.30939108998
12-02-2021,77650.76285361001
13-02-2021,63799.55250689998
14-02-2021,105059.15321713997
15-02-2021,126638.80233883004
16-02-2021,151209.80276913996
17-02-2021,154580.43547161002
18-02-2021,167679.29784459993
19-02-2021,124425.4210760101
20-02-2021,136889.62943017995
21-02-2021,155804.11900263999
22-02-2021,247476.09879632003
23-02-2021,183195.8444272599
24-02-2021,161757.85726635004
25-02-2021,154452.77138032005
26-02-2021,72523.79519221003
27-02-2021,72080.67562708003
28-02-2021,123112.49439479002
01-03-2021,137624.95520370008
02-03-2021,129395.32500911008
03-03-2021,106429.64074626999
04-03-2021,179641.40703516998
05-03-2021,58172.98088044998
06-03-2021,64871.56114267001
07-03-2021,127032.03198667
08-03-2021,134692.73664909002
09-03-2021,136698.28115417
10-03-2021,138580.23924892006
11-03-2021,147297.76156873
12-03-2021,106924.79315580004
13-03-2021,97732.30858978999
14-03-2021,129272.84107778994
15-03-2021,151746.42057950993
16-03-2021,114193.03355128004
17-03-2021,97079.86049105
18-03-2021,101925.6648301901
19-03-2021,57434.79735384006
20-03-2021,63859.55675437001
21-03-2021,93768.61009291999
22-03-2021,138498.76467873997
23-03-2021,126194.33793225998
24-03-2021,143962.96524558
25-03-2021,140851.73459452
26-03-2021,67802.90336114001
27-03-2021,49183.45583514
29-03-2021,115433.5345159
30-03-2021,107382.98447093
31-03-2021,115544.04765653
01-04-2021,118265.60654696
02-04-2021,109663.88408504
03-04-2021,64840.81601995
04-04-2021,52206.70430659998
05-04-2021,96628.08597559
06-04-2021,194745.41427442996
07-04-2021,112735.29549462991
08-04-2021,106964.76483051
09-04-2021,108597.95928822996
10-04-2021,101354.7874505
11-04-2021,66929.62569863001
12-04-2021,122009.04722556003
13-04-2021,150402.94827486
14-04-2021,148963.53949102
15-04-2021,119152.63513728007
16-04-2021,128315.86576435
17-04-2021,54360.71101878002
18-04-2021,210752.96808619003
19-04-2021,124206.31963259997
20-04-2021,150146.67631533
21-04-2021,125996.33039218003
22-04-2021,157972.36281669993
23-04-2021,230771.3605323499
24-04-2021,78195.46736635997
25-04-2021,114196.70124342998
26-04-2021,131967.16325130998
27-04-2021,125364.34329275996
28-04-2021,98636.91180535001
29-04-2021,133971.53715177998
30-04-2021,144912.82441732002
01-05-2021,57862.50982870001
02-05-2021,52587.29314847999
03-05-2021,102957.30488820003
04-05-2021,139504.71181667998
05-05-2021,113733.77080888
06-05-2021,132905.10394777
07-05-2021,169995.87767231005
08-05-2021,79085.07534623992
09-05-2021,92628.3448080399
10-05-2021,140158.66480176008
11-05-2021,118538.26820562
12-05-2021,230793.94513739008
13-05-2021,228542.59390796997
14-05-2021,157314.92807270004
15-05-2021,85307.66720096
16-05-2021,122786.69463313
17-05-2021,228708.8330347599
18-05-2021,144912.75777876
19-05-2021,378375.69800060976
20-05-2021,302706.7627693601
21-05-2021,188116.29092278006
22-05-2021,134224.16104765996
23-05-2021,129391.70766666996
24-05-2021,193504.05495958996
25-05-2021,162716.56950149997
26-05-2021,146447.02505685
27-05-2021,125733.41857424995
28-05-2021,149454.96172689003
29-05-2021,100953.13751616
30-05-2021,63227.16897454997
31-05-2021,91313.62678075997
01-06-2021,148579.26866725998
02-06-2021,103182.4673566
03-06-2021,105841.17874948
04-06-2021,91780.40943912003
05-06-2021,60287.980412790006
06-06-2021,43096.6319019
07-06-2021,111301.18047508996
08-06-2021,148507.31436820002
09-06-2021,116051.36336524998
10-06-2021,125318.06867297001
11-06-2021,94723.61104957004
12-06-2021,59967.976659089996
13-06-2021,42109.398619559994
14-06-2021,125065.74957131999
15-06-2021,101585.65241742002
16-06-2021,99540.80141526
17-06-2021,89449.54939378999
18-06-2021,139353.54761457007
19-06-2021,61018.74947283999
20-06-2021,62298.11551337001
21-06-2021,143916.13694339007
22-06-2021,153753.76250742996
23-06-2021,130180.00292371002
24-06-2021,114686.7586801
25-06-2021,131555.63487137
26-06-2021,74193.72128127003
27-06-2021,64113.770702539994
28-06-2021,107456.50451149003
29-06-2021,92676.59625325
30-06-2021,106768.84924044998
01-07-2021,107687.51786929002
02-07-2021,133602.83768215007
03-07-2021,44635.85969855
04-07-2021,43003.61401839996
05-07-2021,63668.697178220005
06-07-2021,68715.83502938999
07-07-2021,69820.13769948999
08-07-2021,102080.98703157998
09-07-2021,77080.74572203998
10-07-2021,32759.988521400002
11-07-2021,40238.941236670005
12-07-2021,105167.23009464997
13-07-2021,78854.82413171002
14-07-2021,87612.81825696002
15-07-2021,111112.10250354995
16-07-2021,89951.99809686
17-07-2021,128732.60995511997
18-07-2021,33184.41271194999
19-07-2021,96477.00000923005
20-07-2021,98595.84808342005
21-07-2021,109515.85313326001
22-07-2021,80447.65097739997
23-07-2021,77662.88075568
24-07-2021,49924.11416729002
25-07-2021,53105.004183099976
26-07-2021,226430.03552091008
27-07-2021,194203.67584961
28-07-2021,150834.39273454997
29-07-2021,219338.05867968997
30-07-2021,92331.05136824999
31-07-2021,46111.694230629975
01-08-2021,41482.90396181001
02-08-2021,85486.76578495998
03-08-2021,98317.21529283992
04-08-2021,105169.56192678004
05-08-2021,81224.23415741998
06-08-2021,107106.69802449002
07-08-2021,50547.70621262002
08-08-2021,64611.06558272001
09-08-2021,135551.11287649992
10-08-2021,98387.30865228994
11-08-2021,125935.86866057996
12-08-2021,76612.52767505997
13-08-2021,83616.42702281
14-08-2021,67083.52602892
15-08-2021,52559.408261119985
16-08-2021,92750.85873921
17-08-2021,63558.76575753995
18-08-2021,94389.70729551
19-08-2021,69294.70819994996
20-08-2021,119052.04587741997
21-08-2021,81496.83074446997
22-08-2021,31672.406721460004
23-08-2021,115987.33227127
24-08-2021,85096.33595319005
25-08-2021,125322.87874285005
26-08-2021,113517.42227446998
27-08-2021,61248.51484542998
28-08-2021,37355.89089151
29-08-2021,33922.00143055999
30-08-2021,79769.42798387005
31-08-2021,86238.12602246003
01-09-2021,114073.11146593
02-09-2021,131003.98157835005
03-09-2021,97566.90553828001
04-09-2021,47856.71558522001
05-09-2021,39582.06791013
06-09-2021,84441.81671516999
07-09-2021,144717.09398706997
08-09-2021,98946.97594101999
09-09-2021,115492.13567961004
10-09-2021,147029.91645091
11-09-2021,43275.05061409999
12-09-2021,33474.155105680016
13-09-2021,97705.78207981006
14-09-2021,97109.59537164998
15-09-2021,79636.55539058003
16-09-2021,86783.40178575
17-09-2021,69650.11100462003
18-09-2021,38910.209340090005
19-09-2021,37653.9991042
20-09-2021,128212.20438096003
21-09-2021,89853.07056703
22-09-2021,84533.54037564997
23-09-2021,81457.42814015
24-09-2021,108301.01729243994
25-09-2021,35194.4086524
26-09-2021,61153.265041449966
27-09-2021,81182.00154142003
28-09-2021,88158.36018488999
29-09-2021,72195.87669471
30-09-2021,104272.97916858002
01-10-2021,90970.89286922997
02-10-2021,80719.85008298
03-10-2021,41557.00909176004
04-10-2021,102909.81429294006
05-10-2021,107906.31877513997
06-10-2021,118924.67190520001
07-10-2021,129879.95162871
08-10-2021,113932.98121166004
09-10-2021,45026.405766140015
10-10-2021,42525.02005702001
11-10-2021,90447.96070062995
12-10-2021,112244.76468736999
13-10-2021,89250.03202410002
14-10-2021,102277.04016405003
15-10-2021,134826.05645759005
16-10-2021,66249.96516688998
17-10-2021,42448.32878916001
18-10-2021,105357.64495325
19-10-2021,121998.86661381996
20-10-2021,126664.68606439994
21-10-2021,161584.92103882015
22-10-2021,111578.75123294999
23-10-2021,45134.15790074001
24-10-2021,53526.52950846003
25-10-2021,89913.99927074004
26-10-2021,77641.64849801
27-10-2021,103462.54930636998
28-10-2021,112877.27332580995
29-10-2021,147322.26642706
30-10-2021,49018.85313837001
31-10-2021,50315.367885230015
01-11-2021,135404.1259715801
02-11-2021,126408.61528790997
03-11-2021,77966.28840901
04-11-2021,104621.72662811
05-11-2021,45240.385022600014
06-11-2021,39509.70627244
07-11-2021,119452.26440912997
08-11-2021,125889.48941427
09-11-2021,100574.93978133994
10-11-2021,80449.79403605
11-11-2021,98257.56368098997
12-11-2021,42797.712006129965
13-11-2021,33926.02828846999
14-11-2021,87814.12363352005
15-11-2021,172619.97947002988
16-11-2021,125182.07688449997
17-11-2021,173140.13427701
18-11-2021,105606.86525593996
19-11-2021,49278.099965259986
20-11-2021,43725.179913130014
21-11-2021,122663.73002316999
22-11-2021,108312.94610404005
23-11-2021,100473.84113069002
24-11-2021,154370.39923949004
25-11-2021,209797.49078659006
26-11-2021,45224.117102359975
27-11-2021,34328.362514490014
28-11-2021,130896.69728955
29-11-2021,104930.52298136996
30-11-2021,150471.89451069006
01-12-2021,135512.53324978997
02-12-2021,107792.28409776998
03-12-2021,155768.02600966988
04-12-2021,69712.07361102
05-12-2021,155029.12461308995
06-12-2021,130614.47356690995
07-12-2021,120016.05204467007
08-12-2021,153096.70575223997
09-12-2021,96269.99303367999
11-12-2021,25738.26463373001
12-12-2021,99493.18428562001
13-12-2021,99033.00378199996
14-12-2021,76179.90056159
15-12-2021,88182.58151229
16-12-2021,104543.61637133005
17-12-2021,63956.37166935
18-12-2021,25449.64662415
19-12-2021,110939.86415965001
21-12-2021,96583.74582564001
22-12-2021,126705.48187488996
24-12-2021,106268.26495186999
25-12-2021,29066.725775560004
26-12-2021,79153.38643336005
27-12-2021,91711.92488052
28-12-2021,131348.94646207994
29-12-2021,96857.74217229002
30-12-2021,172549.44993864003
31-12-2021,48673.23487218001
01-01-2022,30402.677093629998
02-01-2022,60782.52690007
03-01-2022,136044.53807290006
04-01-2022,89836.47580629
05-01-2022,138172.89238369
06-01-2022,133087.15852486005
07-01-2022,43187.197594330006
08-01-2022,41116.35498264001
09-01-2022,102343.59557130001
10-01-2022,120610.08929304997
11-01-2022,98083.55643002005
12-01-2022,93998.52954619995
13-01-2022,94804.90872750002
14-01-2022,35830.179749780014
15-01-2022,28095.627085999997
16-01-2022,83916.59603149001
17-01-2022,82626.61526040999
18-01-2022,149352.21045549997
19-01-2022,115941.78546337996
20-01-2022,234294.39287770004
21-01-2022,147460.49063709998
22-01-2022,72542.50221724003
23-01-2022,201415.99056280992
24-01-2022,131001.51142347
25-01-2022,125466.59237445003
26-01-2022,147495.40500443007
27-01-2022,112225.77241289998
28-01-2022,126825.18781198005
29-01-2022,170445.63011344994
30-01-2022,130352.53838152996
31-01-2022,210121.41523097
01-02-2022,72998.74524623001
02-02-2022,103723.06736606997
03-02-2022,103407.24374440005
04-02-2022,77656.59820082996
05-02-2022,42789.79031037998
06-02-2022,123921.03279179001
07-02-2022,133484.65465247002
08-02-2022,83927.67605259005
09-02-2022,122295.04144476999
10-02-2022,146995.58341185996
11-02-2022,53188.311253830005
12-02-2022,31942.759230000014
13-02-2022,88497.96670294003
14-02-2022,136575.63913294
15-02-2022,86395.78056352002
16-02-2022,87477.62437058002
17-02-2022,101204.25214904001
18-02-2022,40499.18342304999
19-02-2022,37944.95337985999
20-02-2022,104854.68551052996
21-02-2022,94490.16591402006
22-02-2022,78757.00689969001
23-02-2022,172501.45239273
24-02-2022,136990.0515837
25-02-2022,61083.43235466
26-02-2022,47576.50567775003
27-02-2022,148868.95381808
28-02-2022,157680.47759964998
01-03-2022,123584.07941110003
02-03-2022,105955.36488660997
03-03-2022,138659.30657739003
04-03-2022,41239.95440114001
05-03-2022,31278.439305239986
06-03-2022,119315.27416087998
07-03-2022,101263.90506946998
08-03-2022,150181.87633047006
09-03-2022,122390.43340874002
10-03-2022,134710.86432169998
11-03-2022,36313.20222444
12-03-2022,37006.69722551999
13-03-2022,80633.22499101002
14-03-2022,90413.32526172
15-03-2022,112838.07220601005
16-03-2022,161726.05184977004
17-03-2022,143149.02926728
18-03-2022,53237.29065113001
19-03-2022,30890.887659049993
20-03-2022,153454.47722655002
21-03-2022,105009.55649555
22-03-2022,93649.44800329997
23-03-2022,97916.39908705001
24-03-2022,168595.96907151
25-03-2022,42477.84547710999
26-03-2022,91042.01759302999
28-03-2022,148836.1034526201
29-03-2022,156217.22542340003
30-03-2022,110626.08476633995
31-03-2022,165565.37098408994
01-04-2022,140416.55848442996
02-04-2022,53452.590282970006
03-04-2022,44479.87854024997
04-04-2022,107249.81232902005
05-04-2022,88796.46817405996
06-04-2022,111934.73690528002
07-04-2022,101195.73243435002
08-04-2022,74311.35798644
09-04-2022,47755.16520333998
10-04-2022,43522.495235070004
11-04-2022,125638.49516609007
12-04-2022,88775.69915494004
13-04-2022,91376.22846382998
14-04-2022,151527.4203346101
15-04-2022,62358.20667260997
16-04-2022,43994.79095343003
17-04-2022,30898.079945900008
18-04-2022,82326.85502948001
19-04-2022,91260.94508562006
20-04-2022,129884.48683985003
21-04-2022,220326.99878144005
22-04-2022,75773.38827809002
23-04-2022,33379.83520215999
24-04-2022,43976.38096912
25-04-2022,95871.42260220995
26-04-2022,115858.17825723994
27-04-2022,107415.1883346301
28-04-2022,119666.93835573005
29-04-2022,126481.07605796
