Timestamp,mempool-size
2019-05-01 11:00:00,1662406
2019-05-02 04:30:00,2231539
2019-05-02 22:00:00,2062074
2019-05-03 15:30:00,11009318.5
2019-05-04 09:00:00,2422258.5
2019-05-05 02:30:00,7310286
2019-05-05 20:00:00,9369926.5
2019-05-06 13:30:00,8314922
2019-05-07 07:00:00,5313346
2019-05-08 00:30:00,14141961
2019-05-08 18:00:00,17165463
2019-05-09 11:30:00,9924621
2019-05-10 05:00:00,11840145.5
2019-05-10 22:30:00,28328459.5
2019-05-11 16:00:00,24298308
2019-05-12 09:30:00,15313738.5
2019-05-13 03:00:00,5317259
2019-05-13 20:30:00,6033842.5
2019-05-14 14:00:00,15606019
2019-05-15 07:30:00,19596738
2019-05-16 01:00:00,34565496.5
2019-05-16 18:30:00,47262615
2019-05-17 12:00:00,37133960
2019-05-18 05:30:00,30459070.5
2019-05-18 23:00:00,14264133
2019-05-19 16:30:00,5520158.5
2019-05-20 10:00:00,2564199.5
2019-05-21 03:30:00,12498577
2019-05-21 21:00:00,11976661
2019-05-22 14:30:00,14588004
2019-05-23 08:00:00,6955247.5
2019-05-24 01:30:00,3150841
2019-05-24 19:00:00,15238618.5
2019-05-25 12:30:00,4781287
2019-05-26 06:00:00,2131217.5
2019-05-26 23:30:00,569740
2019-05-27 17:00:00,13300762.5
2019-05-28 10:30:00,3434513.5
2019-05-29 04:00:00,5069408
2019-05-29 21:30:00,6381315
2019-05-30 15:00:00,20113399
2019-05-31 08:30:00,17078535.5
2019-06-01 02:00:00,28491403
2019-06-01 19:30:00,15162563
2019-06-02 13:00:00,632046.5
2019-06-03 06:30:00,8951697
2019-06-04 00:00:00,16048805
2019-06-04 17:30:00,19302161
2019-06-05 11:00:00,4810172
2019-06-06 04:30:00,777995.5
2019-06-06 22:00:00,3776275.5
2019-06-07 15:30:00,15242932.5
2019-06-08 09:00:00,3816069.5
2019-06-09 02:30:00,545697.5
2019-06-09 20:00:00,2972914.5
2019-06-10 13:30:00,9657702
2019-06-11 07:00:00,6771025
2019-06-12 00:30:00,3587125.5
2019-06-12 18:00:00,11729221.5
2019-06-13 11:30:00,8912156
2019-06-14 05:00:00,12990130.5
2019-06-14 22:30:00,20430489
2019-06-15 16:00:00,7189282
2019-06-16 09:30:00,3612787
2019-06-17 03:00:00,7658902.5
2019-06-17 20:30:00,24986085.5
2019-06-18 14:00:00,17578215
2019-06-19 07:30:00,6403652
2019-06-20 01:00:00,417652.5
2019-06-20 18:30:00,25336983
2019-06-21 12:00:00,21091728.5
2019-06-22 05:30:00,22341837.5
2019-06-22 23:00:00,27858433.5
2019-06-23 16:30:00,1684908
2019-06-24 10:00:00,2392024.5
2019-06-25 03:30:00,5204685.5
2019-06-25 21:00:00,20285104.5
2019-06-26 14:30:00,31035662.5
2019-06-27 08:00:00,42061009.5
2019-06-28 01:30:00,39079536
2019-06-28 19:00:00,42514452.5
2019-06-29 12:30:00,793133
2019-06-30 06:00:00,2083078
2019-06-30 23:30:00,410787.5
2019-07-01 17:00:00,17217155
2019-07-02 10:30:00,12341430
2019-07-03 04:00:00,4049751
2019-07-03 21:30:00,3045617
2019-07-04 15:00:00,15629881
2019-07-05 08:30:00,2748988
2019-07-06 02:00:00,1392268.5
2019-07-06 19:30:00,838815.5
2019-07-07 13:00:00,625019.5
2019-07-08 06:30:00,356803.5
2019-07-09 00:00:00,1238145
2019-07-09 17:30:00,15678014
2019-07-10 11:00:00,18743351
2019-07-11 04:30:00,20321351.5
2019-07-11 22:15:00,27795454
2019-07-12 15:45:00,16367682
2019-07-13 09:15:00,2609872
2019-07-14 02:45:00,888798
2019-07-14 20:15:00,841521.5
2019-07-15 13:45:00,11711867
2019-07-16 07:15:00,1476338.5
2019-07-17 00:45:00,1777972
2019-07-17 18:15:00,32311189.5
2019-07-18 11:45:00,35368798
2019-07-19 05:15:00,38258511
2019-07-19 23:15:00,38421186
2019-07-20 16:45:00,515427
2019-07-21 10:15:00,1337808
2019-07-22 03:45:00,236688.5
2019-07-22 21:15:00,6120429.5
2019-07-23 14:45:00,7729124.5
2019-07-24 08:15:00,2947944
2019-07-25 01:45:00,9021519.5
2019-07-25 19:15:00,1401643
2019-07-26 12:45:00,1966855.5
2019-07-27 06:15:00,1021764
2019-07-27 23:45:00,694605.5
2019-07-28 17:15:00,272913.5
2019-07-29 10:45:00,1070543.5
2019-07-30 04:15:00,1416534
2019-07-30 21:45:00,4829885
2019-07-31 15:15:00,6122381.5
2019-08-01 08:45:00,1517160
2019-08-02 02:15:00,1637121
2019-08-02 19:45:00,536251.5
2019-08-03 13:15:00,4954720
2019-08-04 06:45:00,2027069
2019-08-05 00:15:00,373916.5
2019-08-05 17:45:00,11804465.5
2019-08-06 11:15:00,3688992.5
2019-08-07 04:45:00,379107
2019-08-07 22:15:00,14290871
2019-08-08 15:45:00,13761061
2019-08-09 09:15:00,1888335.5
2019-08-10 02:45:00,1820728
2019-08-10 20:15:00,719433.5
2019-08-11 13:45:00,4244839.5
2019-08-12 07:15:00,277457
2019-08-13 00:45:00,17173982
2019-08-13 18:15:00,10493386
2019-08-14 11:45:00,1641971
2019-08-15 05:15:00,1224425
2019-08-15 22:45:00,1536717
2019-08-16 16:15:00,11009955
2019-08-17 09:45:00,3106683
2019-08-18 03:15:00,1375409
2019-08-18 20:45:00,2838415.5
2019-08-19 14:15:00,5950163.5
2019-08-20 07:45:00,3282633
2019-08-21 01:15:00,659473
2019-08-21 18:45:00,4939650.5
2019-08-22 12:15:00,3042634
2019-08-23 05:45:00,1962952.5
2019-08-23 23:15:00,578380.5
2019-08-24 16:45:00,5581527.5
2019-08-25 10:15:00,1620104.5
2019-08-26 03:45:00,1533278
2019-08-26 21:15:00,6255060
2019-08-27 14:45:00,5117240.5
2019-08-28 08:15:00,477257.5
2019-08-29 01:45:00,1473110.5
2019-08-29 19:15:00,5694317
2019-08-30 12:45:00,4023870
2019-08-31 06:15:00,739506.5
2019-08-31 23:45:00,253699.5
2019-09-01 17:15:00,339087.5
2019-09-02 10:45:00,697522
2019-09-03 04:15:00,414746
2019-09-03 21:45:00,2093280
2019-09-04 15:15:00,11613589
2019-09-05 08:45:00,4646463
2019-09-06 02:15:00,577587.5
2019-09-06 19:45:00,850979
2019-09-07 13:15:00,4094412.5
2019-09-08 06:45:00,600275.5
2019-09-09 00:15:00,223647
2019-09-09 17:45:00,8133963
2019-09-10 11:15:00,3313912.5
2019-09-11 04:45:00,346275.5
2019-09-11 22:15:00,331135
2019-09-12 15:45:00,2279089.5
2019-09-13 09:15:00,1265095
2019-09-14 02:45:00,659972
2019-09-14 20:15:00,1022732.5
2019-09-15 13:45:00,10824204.5
2019-09-16 07:15:00,574351
2019-09-17 00:45:00,2741186.5
2019-09-17 18:15:00,6035910
2019-09-18 11:45:00,3319823
2019-09-19 05:15:00,731363
2019-09-19 22:45:00,1431698.5
2019-09-20 16:15:00,9121676
2019-09-21 09:45:00,235375
2019-09-22 03:15:00,1890625.5
2019-09-22 20:45:00,293773.5
2019-09-23 14:15:00,12293943
2019-09-24 07:45:00,1464458
2019-09-25 01:15:00,3115147
2019-09-25 18:45:00,1965129.5
2019-09-26 12:15:00,1651625
2019-09-27 05:45:00,876212.5
2019-09-27 23:15:00,7873727
2019-09-28 16:45:00,735603
2019-09-29 10:15:00,1513592
2019-09-30 03:45:00,434641
2019-09-30 21:15:00,9047201.5
2019-10-01 14:45:00,8082168
2019-10-02 08:15:00,1568913.5
2019-10-03 01:45:00,394605.5
2019-10-03 19:15:00,1774764
2019-10-04 12:45:00,1783605
2019-10-05 06:15:00,488820.5
2019-10-05 23:45:00,1034778.5
2019-10-06 17:15:00,714959.5
2019-10-07 10:45:00,826874
2019-10-08 04:15:00,163815
2019-10-08 21:45:00,1051406
2019-10-09 15:15:00,11556535
2019-10-10 08:45:00,1257234
2019-10-11 02:15:00,833750.5
2019-10-11 19:45:00,5796356
2019-10-12 13:15:00,3747531.5
2019-10-13 06:45:00,1348422.5
2019-10-14 00:15:00,2960310.5
2019-10-14 17:45:00,7574268
2019-10-15 11:15:00,3773384.5
2019-10-16 04:45:00,1701198
2019-10-16 22:15:00,280743.5
2019-10-17 15:45:00,9637385
2019-10-18 09:15:00,292119
2019-10-19 02:45:00,3078823.5
2019-10-19 20:15:00,314806
2019-10-20 13:45:00,615438
2019-10-21 07:15:00,767407
2019-10-22 00:45:00,744542.5
2019-10-22 18:15:00,2872463
2019-10-23 11:45:00,1425834.5
2019-10-24 05:15:00,191774
2019-10-24 22:45:00,8177799.5
2019-10-25 16:15:00,11735846
2019-10-26 09:45:00,1975445.5
2019-10-27 02:15:00,3699226
2019-10-27 19:45:00,5252396.5
2019-10-28 13:15:00,7080087.5
2019-10-29 06:45:00,1675432.5
2019-10-30 00:15:00,1490193
2019-10-30 17:45:00,2444874.5
2019-10-31 11:15:00,3998605
2019-11-01 04:45:00,3892512.5
2019-11-01 22:15:00,3178847
2019-11-02 15:45:00,1263026.5
2019-11-03 09:15:00,1049679
2019-11-04 02:45:00,3110338.5
2019-11-04 20:15:00,6203981.5
2019-11-05 13:45:00,7406929.5
2019-11-06 07:15:00,3300849.5
2019-11-07 00:45:00,2782627.5
2019-11-07 18:15:00,12249392.5
2019-11-08 11:45:00,2964331.5
2019-11-09 05:15:00,1160648
2019-11-09 22:45:00,1035625
2019-11-10 16:15:00,1803528
2019-11-11 09:45:00,1585373.5
2019-11-12 03:15:00,788127
2019-11-12 20:45:00,13106693.5
2019-11-13 14:15:00,8015950
2019-11-14 07:45:00,418599
2019-11-15 01:15:00,934944.5
2019-11-15 18:45:00,87354134
2019-11-16 12:15:00,58246421
2019-11-17 05:45:00,31143416.5
2019-11-17 23:15:00,235572.5
2019-11-18 16:45:00,6758251.5
2019-11-19 10:15:00,435995.5
2019-11-20 03:45:00,310710.5
2019-11-20 21:15:00,643398.5
2019-11-21 14:45:00,9128352
2019-11-22 08:15:00,7920598
2019-11-23 01:45:00,615444.5
2019-11-23 19:15:00,271797
2019-11-24 12:45:00,5928451
2019-11-25 06:15:00,1204870.5
2019-11-25 23:45:00,18079283.5
2019-11-26 17:15:00,17496715
2019-11-27 10:45:00,853474.5
2019-11-28 04:15:00,377585.5
2019-11-28 21:45:00,212848.5
2019-11-29 15:15:00,10160956.5
2019-11-30 08:45:00,2169565
2019-12-01 02:15:00,569065.5
2019-12-01 19:45:00,1484349.5
2019-12-02 13:15:00,2658417.5
2019-12-03 06:45:00,1515779
2019-12-04 00:15:00,273266.5
2019-12-04 17:45:00,2712069
2019-12-05 11:15:00,1899185
2019-12-06 04:45:00,475333
2019-12-06 22:15:00,602414.5
2019-12-07 15:45:00,201204.5
2019-12-08 09:15:00,1977207
2019-12-09 02:45:00,517696
2019-12-09 20:15:00,6505605
2019-12-10 13:45:00,7757127
2019-12-11 07:15:00,295930
2019-12-12 00:45:00,832537
2019-12-12 18:15:00,3265040.5
2019-12-13 11:45:00,1058698.5
2019-12-14 05:15:00,2163638
2019-12-14 22:45:00,763647.5
2019-12-15 16:15:00,1068832
2019-12-16 09:45:00,7880014
2019-12-17 03:15:00,542757.5
2019-12-17 20:45:00,11566073.5
2019-12-18 14:15:00,5468270.5
2019-12-19 07:45:00,1282977
2019-12-20 01:15:00,400559
2019-12-20 18:45:00,1837592.5
2019-12-21 12:15:00,3439286
2019-12-22 05:45:00,244151
2019-12-22 23:15:00,203921
2019-12-23 16:45:00,3817389
2019-12-24 10:15:00,2364012.5
2019-12-25 03:45:00,1185980
2019-12-25 21:15:00,1710693.5
2019-12-26 14:45:00,221062.5
2019-12-27 08:15:00,1516634
2019-12-28 01:45:00,1401960
2019-12-28 19:15:00,3116872
2019-12-29 12:45:00,1175678.5
2019-12-30 06:15:00,598686.5
2019-12-30 23:45:00,3158475
2019-12-31 17:15:00,3055454
2020-01-01 10:45:00,1300983.5
2020-01-02 04:15:00,276471.5
2020-01-02 21:45:00,365636
2020-01-03 15:15:00,2725840
2020-01-04 08:45:00,562177.5
2020-01-05 02:15:00,2741183.5
2020-01-05 19:45:00,1150290.5
2020-01-06 13:15:00,10927930
2020-01-07 06:45:00,1824946.5
2020-01-08 00:15:00,657615
2020-01-08 17:45:00,13811396
2020-01-09 11:15:00,2955584.5
2020-01-10 04:45:00,1479643.5
2020-01-10 22:15:00,598286
2020-01-11 15:45:00,509535
2020-01-12 09:15:00,607117
2020-01-13 02:45:00,889982
2020-01-13 20:15:00,11018194
2020-01-14 13:45:00,11041398.5
2020-01-15 07:15:00,403202.5
2020-01-16 00:45:00,2174515
2020-01-16 18:15:00,1161351
2020-01-17 11:45:00,3885936
2020-01-18 05:15:00,408137.5
2020-01-18 22:45:00,3882928.5
2020-01-19 16:15:00,2157639.5
2020-01-20 09:45:00,1637172.5
2020-01-21 03:15:00,1064093
2020-01-21 20:45:00,7291880
2020-01-22 14:15:00,1230617.5
2020-01-23 07:45:00,1019521
2020-01-24 01:15:00,528063
2020-01-24 18:45:00,12491487.5
2020-01-25 12:15:00,4510451.5
2020-01-26 05:45:00,134973.5
2020-01-26 23:15:00,273714
2020-01-27 16:45:00,13275889
2020-01-28 10:15:00,2433698
2020-01-29 03:45:00,3552542
2020-01-29 21:15:00,470008
2020-01-30 14:45:00,8558463
2020-01-31 08:15:00,1443044.5
2020-02-01 01:45:00,1109158
2020-02-01 19:15:00,12764396
2020-02-02 12:45:00,5470702
2020-02-03 06:15:00,1588682
2020-02-03 23:45:00,2289129.5
2020-02-04 17:15:00,10340542.5
2020-02-05 10:45:00,2593808
2020-02-06 04:15:00,309138
2020-02-06 21:45:00,26990871.5
2020-02-07 15:15:00,16746638
2020-02-08 08:45:00,561036.5
2020-02-09 02:15:00,768665.5
2020-02-09 19:45:00,365941.5
2020-02-10 13:15:00,12442043.5
2020-02-11 06:45:00,665353.5
2020-02-12 00:15:00,246268.5
2020-02-12 18:00:00,20430641
2020-02-13 11:45:00,5208380
2020-02-14 05:15:00,1991941
2020-02-14 22:45:00,13462180
2020-02-15 16:15:00,3314671
2020-02-16 09:45:00,650629
2020-02-17 03:15:00,405269
2020-02-17 20:45:00,250568.5
2020-02-18 14:15:00,5592464
2020-02-19 07:45:00,2375294
2020-02-20 01:15:00,2971729.5
2020-02-20 18:45:00,10840699
2020-02-21 12:15:00,589069
2020-02-22 05:45:00,501128.5
2020-02-22 23:15:00,136876.5
2020-02-23 16:45:00,686600.5
2020-02-24 10:15:00,6504364
2020-02-25 03:45:00,1194635.5
2020-02-25 21:15:00,1618410
2020-02-26 14:45:00,8109010
2020-02-27 08:15:00,499784.5
2020-02-28 01:45:00,859658.5
2020-02-28 19:15:00,2757142.5
2020-02-29 12:45:00,2654384
2020-03-01 06:15:00,306970
2020-03-01 23:45:00,698843
2020-03-02 17:15:00,10217787
2020-03-03 10:45:00,426037
2020-03-04 04:15:00,15536267
2020-03-04 21:45:00,6624024
2020-03-05 15:15:00,2960827
2020-03-06 08:45:00,6384334.5
2020-03-07 02:15:00,1019679
2020-03-07 19:45:00,472383.5
2020-03-08 13:15:00,1887446.5
2020-03-09 06:45:00,1003098.5
2020-03-10 00:15:00,5559887.5
2020-03-10 17:45:00,10582980
2020-03-11 11:15:00,3826491.5
2020-03-12 04:45:00,2943780
2020-03-12 22:15:00,14939284
2020-03-13 16:45:00,36138075
2020-03-14 11:15:00,2647579
2020-03-15 04:45:00,1117786
2020-03-15 22:15:00,4349025.5
2020-03-16 15:45:00,15519485.5
2020-03-17 09:15:00,9837190
2020-03-18 02:45:00,3304626.5
2020-03-18 20:15:00,15538861
2020-03-19 13:45:00,6631789.5
2020-03-20 07:15:00,15430404
2020-03-21 00:45:00,11252680
2020-03-21 18:15:00,4967514.5
2020-03-22 11:45:00,881198
2020-03-23 05:15:00,1127927
2020-03-23 22:45:00,3808516.5
2020-03-24 16:15:00,7603311.5
2020-03-25 09:45:00,6178833
2020-03-26 03:45:00,399102
2020-03-26 21:15:00,15175031
2020-03-27 14:45:00,8912866
2020-03-28 08:15:00,1284550
2020-03-29 02:45:00,571182.5
2020-03-29 20:15:00,3336453
2020-03-30 13:45:00,7706544.5
2020-03-31 07:15:00,690533.5
2020-04-01 00:45:00,343967.5
2020-04-01 18:15:00,6562528.5
2020-04-02 11:45:00,501203
2020-04-03 05:15:00,191114.5
2020-04-03 22:45:00,14564529.5
2020-04-04 16:15:00,484517.5
2020-04-05 09:45:00,646075
2020-04-06 03:15:00,446775
2020-04-06 20:45:00,17944539
2020-04-07 14:15:00,9994101
2020-04-08 07:45:00,2347474.5
2020-04-09 01:15:00,580209
2020-04-09 18:45:00,11267846.5
2020-04-10 12:15:00,1857555
2020-04-11 05:45:00,453465.5
2020-04-11 23:15:00,675024.5
2020-04-12 16:45:00,918659
2020-04-13 10:15:00,362157.5
2020-04-14 03:45:00,368504
2020-04-14 21:15:00,9549870
2020-04-15 14:45:00,10551970
2020-04-16 08:15:00,1442934.5
2020-04-17 01:45:00,5225841.5
2020-04-17 19:15:00,18645693.5
2020-04-18 12:45:00,1558484.5
2020-04-19 06:15:00,283343
2020-04-19 23:45:00,994550
2020-04-20 17:15:00,4555107
2020-04-21 10:45:00,3639336.5
2020-04-22 04:15:00,392187
2020-04-22 21:45:00,39801476
2020-04-23 15:15:00,22974807.5
2020-04-24 08:45:00,21261852
2020-04-25 02:15:00,17831259.5
2020-04-25 19:45:00,18353893.5
2020-04-26 13:15:00,2491005.5
2020-04-27 06:45:00,1090812
2020-04-28 00:15:00,6163874.5
2020-04-28 17:45:00,1828167
2020-04-29 11:15:00,3675025.5
2020-04-30 04:45:00,38338543
2020-04-30 22:15:00,71851739.5
2020-05-01 15:45:00,67099100
2020-05-02 09:15:00,33892330.5
